"tract","Name","Incarceration_Rate_rP_gP_pall"
11001004801,"Northwest Washington, Washington, DC",0.1078
11001010900,"Southwest Washington, Washington, DC",0.1021
11001007401,"Barry Farm, Washington, DC",0.0874
11001007407,"Barry Farm, Washington, DC",0.0863
11001003302,"Bloomingdale, Washington, DC",0.082
11001004901,"Northwest Washington, Washington, DC",0.0804
11001008802,"Northeast Washington, Washington, DC",0.0798
11001007502,"Southeast Washington, Washington, DC",0.0749
11001007200,"Capitol Riverfront, Washington, DC",0.0747
11001008803,"Northeast Washington, Washington, DC",0.0741
11001003301,"Bloomingdale, Washington, DC",0.0734
11001007406,"Southeast Washington, Washington, DC",0.0724
11001004702,"Northwest Washington, Washington, DC",0.0719
11001006900,"Southeast Washington, Washington, DC",0.0716
11001004701,"Northwest Washington, Washington, DC",0.0714
11001009802,"Southeast Washington, Washington, DC",0.0706
11001009810,"Southeast Washington, Washington, DC",0.0697
11001006400,"Southwest Washington, Washington, DC",0.0683
11001007601,"Southeast Washington, Washington, DC",0.0669
11001007408,"Southeast Washington, Washington, DC",0.0667
11001008402,"Northeast Washington, Washington, DC",0.0646
11001009801,"Southeast Washington, Washington, DC",0.0642
11001009204,"Edgewood, Washington, DC",0.0632
11001003500,"Northwest Washington, Washington, DC",0.062
11001005900,"Northwest Washington, Washington, DC",0.0619
11001008702,"Eckington, Washington, DC",0.0618
11001010400,"Southeast Washington, Washington, DC",0.0613
24033803401,"Landover, Hyattsville, MD",0.0571
11001008001,"Northeast Washington, Washington, DC",0.0571
11001009906,"Marshall Heights, Washington, DC",0.0565
11001008903,"Carver / Langston, Washington, DC",0.0565
11001007708,"Southeast Washington, Washington, DC",0.0564
11001009700,"Southeast Washington, Washington, DC",0.0562
11001009903,"Southeast Washington, Washington, DC",0.0559
11001007901,"Northeast Washington, Washington, DC",0.0548
11001009604,"Northeast Washington, Washington, DC",0.0535
11001009203,"Northeast Washington, Washington, DC",0.0535
11001009811,"Southeast Washington, Washington, DC",0.0534
11001009501,"Northeast Washington, Washington, DC",0.0525
24033801600,"Oxon Hill, MD",0.0523
11001007100,"Southeast Washington, Washington, DC",0.0518
11001004802,"Northwest Washington, Washington, DC",0.0516
11001009603,"Northeast Washington, Washington, DC",0.0512
11001007806,"Northeast Washington, Washington, DC",0.051
24033801707,"Oxon Hill, MD",0.0509
11001002202,"Northwest Washington, Washington, DC",0.0504
11001007304,"Congress Heights, Washington, DC",0.0501
11001006802,"Barney Circle, Washington, DC",0.0498
24033802408,"Capitol Heights, MD",0.0496
24033803524,"Hyattsville, MD",0.0496
24033802700,"Capitol Heights, MD",0.0495
24033803300,"Hyattsville, MD",0.0494
11001007409,"Southeast Washington, Washington, DC",0.0491
11001007804,"Lincoln Heights, Washington, DC",0.0488
11001003600,"Columbia Heights, Washington, DC",0.0482
51013103100,"Nauck, Arlington, VA",0.0476
11001007709,"Fairlawn, Washington, DC",0.0472
11001007504,"Historic Anacostia, Washington, DC",0.0471
24033801704,"Oxon Hill, MD",0.047
11001009905,"Marshall Heights, Washington, DC",0.0469
51510201204,"Del Ray, Alexandria, VA",0.0467
24033803002,"Capitol Heights, MD",0.0467
24033803509,"Dodge Park, Hyattsville, MD",0.0462
11001004400,"Northwest Washington, Washington, DC",0.046
11001002102,"Northwest Washington, Washington, DC",0.0453
11001006801,"Hill East, Washington, DC",0.0451
11001008701,"Eckington, Washington, DC",0.045
24033803200,"Hyattsville, MD",0.0448
11001009907,"Southeast Washington, Washington, DC",0.0445
11001002301,"Northwest Washington, Washington, DC",0.0443
11001007703,"Fort Dupont, Washington, DC",0.0442
24033803508,"Glenarden, MD",0.044
11001007803,"Lower Central NE, Washington, DC",0.044
11001002501,"16th Street Heights, Washington, DC",0.0438
24033803612,"Lanham, MD",0.0437
24033802407,"District Heights, MD",0.0434
11001009602,"Mayfair, Washington, DC",0.0431
24033802501,"Suitland, Suitland-Silver Hill, MD",0.043
24033802301,"District Heights, MD",0.043
11001009102,"Brentwood, Washington, DC",0.0429
24033801801,"Temple Hills, MD",0.0428
24033802106,"Suitland-Silver Hill, MD",0.0426
24033803100,"Capitol Heights, MD",0.0426
11001009804,"Southeast Washington, Washington, DC",0.0424
11001003000,"Columbia Heights, Washington, DC",0.0423
51013102500,"Penrose, Arlington, VA",0.0422
24033801807,"Hillcrest Heights, MD",0.0421
24033802405,"Suitland, Suitland-Silver Hill, MD",0.0417
11001007404,"Douglass, Washington, DC",0.0413
11001008410,"Northeast Washington, Washington, DC",0.0409
11001009400,"Northeast Washington, Washington, DC",0.0408
24033801808,"Hillcrest Heights, MD",0.0404
11001009904,"Marshall Heights, Washington, DC",0.0403
11001009803,"Congress Heights, Washington, DC",0.0402
11001004201,"Northwest Washington, Washington, DC",0.0401
24033804001,"Bladensburg, MD",0.0401
24033802901,"Capitol Heights, MD",0.0398
11001003400,"Howard University, Washington, DC",0.0395
24033801802,"Temple Hills, MD",0.0392
11001010500,"Southwest Washington, Washington, DC",0.0392
24033801408,"Fort Washington, MD",0.039
24033804102,"Hyattsville, MD",0.0389
11001004300,"Northwest Washington, Washington, DC",0.0386
11001001702,"Northwest Washington, Washington, DC",0.0384
24033802002,"District Heights, MD",0.0383
11001009902,"Southeast Washington, Washington, DC",0.0383
24033804802,"Mount Rainier, MD",0.0379
11001007605,"Fairlawn, Washington, DC",0.0379
11001008002,"Northeast Washington, Washington, DC",0.0375
11001007903,"Kingman Park, Washington, DC",0.0375
11001003200,"Northwest Washington, Washington, DC",0.0374
11001008804,"Northeast Washington, Washington, DC",0.0374
11001007503,"Historic Anacostia, Washington, DC",0.0373
24033803402,"Landover, Hyattsville, MD",0.037
24033801701,"Temple Hills, MD",0.0365
11001009000,"Fort Lincoln, Washington, DC",0.0361
11001002502,"Northwest Washington, Washington, DC",0.0359
11001003100,"Northwest Washington, Washington, DC",0.0358
11001002101,"Brightwood Park, Washington, DC",0.0356
24033801702,"Temple Hills, MD",0.0356
11001009201,"Edgewood, Washington, DC",0.0355
11001011100,"Northeast Washington, Washington, DC",0.0353
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.0351
24033801907,"Suitland, Suitland-Silver Hill, MD",0.0351
51510201202,"Potomac West, Alexandria, VA",0.0351
