"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
51013101601,"North Highland, Arlington, VA",51655
24031705300,"Chevy Chase, MD",51035
51059470100,"McLean, VA",50764
11001000901,"Northwest Washington, Washington, DC",50662
24031706013,"Bethesda, MD",49743
24031706008,"Potomac, MD",49685
51059480201,"McLean, VA",49022
24031704700,"Bethesda, MD",48964
51059480100,"Great Falls, VA",48488
51013100300,"Old Glebe, Arlington, VA",48206
24031705200,"Chevy Chase, MD",48172
51059470300,"McLean, VA",48059
24031706009,"Potomac, MD",47776
24031705400,"Chevy Chase, MD",47102
11001001500,"Northwest Washington, Washington, DC",46949
51059470800,"McLean, VA",46934
51510202001,"Old Town, Alexandria, VA",46895
11001000801,"Northwest Washington, Washington, DC",46782
51059470500,"McLean, VA",46153
11001000600,"Northwest Washington, Washington, DC",45837
24031705701,"Bethesda, MD",45622
24031705901,"Bethesda, MD",45571
51510200702,"Eisenhower East, Alexandria, VA",45556
11001001301,"Northwest Washington, Washington, DC",45523
24031705502,"Chevy Chase, MD",45247
51059470900,"Falls Church, VA",45195
24031705702,"Bethesda, MD",45078
11001004100,"Northwest Washington, Washington, DC",45009
51510200202,"Seminary Hill, Alexandria, VA",45000
51013100400,"Arlington, VA",44843
24033806400,"University Park, MD",44740
51059470600,"McLean, VA",44738
24031705100,"Chevy Chase, MD",44624
11001000202,"Georgetown, Washington, DC",44280
51059452000,"Annandale, VA",44242
51510201100,"North Ridge, Alexandria, VA",44138
24031705601,"Bethesda, MD",43974
24031705902,"Bannockburn, Bethesda, MD",43889
11001001402,"Northwest Washington, Washington, DC",43821
11001006600,"Capitol Hill, Washington, DC",43765
51059451000,"Annandale, VA",43727
24031705903,"Bethesda, MD",43631
51510200900,"North Ridge, Alexandria, VA",43422
24031704805,"Bethesda, MD",43398
51059470400,"McLean, VA",43290
51059450601,"Falls Church, VA",43052
51510200801,"Taylor Run, Alexandria, VA",42999
24031705800,"Glen Echo, MD",42946
51013101100,"East Falls Church, Arlington, VA",42834
51510201500,"Potomac West, Alexandria, VA",42753
51013100500,"Donaldson Run, Arlington, VA",42654
11001001401,"Northwest Washington, Washington, DC",42525
11001001100,"Northwest Washington, Washington, DC",42467
51510201000,"North Ridge, Alexandria, VA",42324
11001001001,"American University Park, Washington, DC",42241
11001000100,"Georgetown, Washington, DC",41974
11001000802,"Northwest Washington, Washington, DC",41971
24031704600,"Bethesda, MD",41931
11001000701,"Cathedral Heights, Washington, DC",41905
51059451200,"Falls Church, VA",41903
51059471000,"Falls Church, VA",41678
11001006500,"Southeast Washington, Washington, DC",41613
51610500100,"Falls Church, VA",41389
11001001600,"Northwest Washington, Washington, DC",41233
51013101000,"Arlington, VA",41144
51059450701,"Annandale, VA",41139
51059451300,"Falls Church, VA",41119
51059471304,"Falls Church, VA",41085
51013102802,"Claremont, Arlington, VA",41008
51059430500,"Springfield, VA",41006
51013100200,"Yorktown, Arlington, VA",40960
51059471401,"Falls Church, VA",40949
51510200403,"Landmark, Alexandria, VA",40933
51013103700,"Arlington Ridge, Arlington, VA",40885
11001000502,"Northwest Washington, Washington, DC",40654
24031705000,"Bethesda, MD",40647
51013101900,"Ashton Heights, Arlington, VA",40603
51059420203,"Alexandria, VA",40574
51059451800,"Lincolnia, VA",40524
51013102100,"Glencarlyn, Arlington, VA",40397
24031705501,"Chevy Chase, MD",40128
11001001200,"Northwest Washington, Washington, DC",40090
51059451100,"Falls Church, VA",40070
24031704804,"Bethesda, MD",39895
51013103401,"Fort Myer, Arlington, VA",39784
51510200404,"Landmark, Alexandria, VA",39756
51013102002,"Ashton Heights, Arlington, VA",39696
11001000902,"Northwest Washington, Washington, DC",39508
51059471303,"Falls Church, VA",39447
51059452501,"Alexandria, VA",39424
51059450800,"Annandale, VA",39360
51059470700,"McLean, VA",39273
24033804200,"Cheverly, MD",39224
51013100900,"Tara - Leeway Heights, Arlington, VA",39216
24033806706,"Greenbelt, MD",39002
51610500300,"Falls Church, VA",38774
51013101300,"Bluemont, Arlington, VA",38747
51013100100,"Arlington, VA",38619
51059420300,"Alexandria, VA",38590
51013101200,"Dominion Hills, Arlington, VA",38522
24033803523,"Bowie, MD",38462
24033803520,"Bowie, MD",38333
11001006700,"Southeast Washington, Washington, DC",38283
51013103601,"Aurora Highlands, Arlington, VA",38277
51013101404,"Virginia Square, Arlington, VA",38107
51059450400,"Falls Church, VA",38045
51059420100,"Springfield, VA",37977
11001010800,"Northwest Washington, Washington, DC",37914
51013101500,"Lyon Village, Arlington, VA",37905
51059452801,"Alexandria, VA",37891
11001005500,"Northwest Washington, Washington, DC",37876
24033806800,"Berwyn Heights, MD",37837
51059450900,"Falls Church, VA",37808
51059420201,"Alexandria, VA",37722
51059452400,"Springfield, VA",37699
24033800408,"Glenn Dale, MD",37550
51059420700,"Alexandria, VA",37542
51059452102,"Annandale, VA",37450
51059452101,"Annandale, VA",37422
51059471202,"McLean, VA",37374
51013103502,"Aurora Highlands, Arlington, VA",37332
11001000300,"Northwest Washington, Washington, DC",37318
11001008200,"Northeast Washington, Washington, DC",37242
51013103503,"Crystal City, Arlington, VA",37196
11001000400,"Naval Observatory, Washington, DC",37093
51059430600,"Springfield, VA",37076
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",36871
11001002600,"Northwest Washington, Washington, DC",36709
51013101801,"Court House, Arlington, VA",36597
51510200302,"Seminary Hill, Alexandria, VA",36550
51610500200,"Falls Church, VA",36530
51013100600,"Cherrydale, Arlington, VA",36448
51059471402,"Falls Church, VA",36387
51013101401,"Bluemont, Arlington, VA",36357
51013100700,"Arlington, VA",36327
51059471201,"Tysons, VA",36290
11001010700,"Downtown, Washington, DC",36281
24033805801,"Adelphi, MD",36184
51059471100,"Falls Church, VA",36167
51059452600,"Alexandria, VA",36077
51059451501,"Falls Church, VA",36040
24033807200,"College Park, MD",36000
51059450500,"Falls Church, VA",35998
51510202002,"Old Town, Alexandria, VA",35976
24033805904,"Hyattsville, MD",35901
51059452200,"Annandale, VA",35881
51013102301,"Alcova Heights, Arlington, VA",35862
24033800706,"Upper Marlboro, MD",35774
51059450300,"Falls Church, VA",35582
11001001002,"Cathedral Heights, Washington, DC",35572
24033803516,"Bowie, MD",35525
11001008301,"Northeast Washington, Washington, DC",35514
24033806708,"Greenbelt, MD",35471
24033806710,"Greenbelt, MD",35469
51059450100,"Falls Church, VA",35434
24031702401,"Silver Spring, MD",35426
51059420202,"Alexandria, VA",35416
24033807102,"Riverdale, Riverdale Park, MD",35314
24033800411,"Glenn Dale, MD",35305
11001010100,"Downtown, Washington, DC",35225
51510201400,"Potomac West, Alexandria, VA",35217
