"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
24005403802,"Pikesville, MD",56587
51760050600,"Near West End, Richmond, VA",55124
25021404201,"Wellesley, MA",54591
36059518204,"Woodbury, NY",54393
9001060600,"Southport, Fairfield, CT",54198
36059519602,"Plainview, NY",54114
36059302101,"Roslyn, NY",53574
36059301700,"Manhasset, NY",53457
36059519702,"Plainview, NY",53369
6073011300,"Coronado, CA",53074
36059412600,"Rockville Centre, NY",52931
36119009800,"Scarsdale, NY",52766
36119008401,"Harrison, NY",52748
6037262301,"Los Angeles, CA",52689
34039037900,"Summit, NJ",52596
36119010000,"Scarsdale, NY",52414
34021004304,"West Windsor Township, NJ",52365
36059518600,"Jericho, NY",52271
48201430300,"Hunter Creek Village, Houston, TX",52238
36119004700,"Bronxville, NY",52185
36119002103,"Crestwood, Yonkers, NY",52068
36059406400,"Garden City, NY",51935
36059517705,"Glen Head, NY",51891
51013101601,"North Highland, Arlington, VA",51655
36059300900,"Manhasset, NY",51637
6085511701,"Los Altos Hills, CA",51614
48201411200,"River Oaks, Houston, TX",51575
36059412700,"Rockville Centre, NY",51506
36087010802,"New City, NY",51454
9001060400,"Fairfield, CT",51449
25017367200,"Weston, MA",51439
6037265100,"Westwood, Los Angeles, CA",51329
6001443103,"Fremont, CA",51300
36061012800,"Lenox Hill, New York, NY",51255
34025809703,"Marlboro Township, NJ",51224
36103112212,"Dix Hills, NY",51190
25021412200,"Westwood, MA",51154
36059406501,"Garden City, NY",51147
8005005636,"Greenwood Village, CO",51083
24031705300,"Chevy Chase, MD",51035
36059415202,"Merrick, NY",51000
36047004400,"Kings County, NY",50849
9001035200,"New Canaan, CT",50829
6075030600,"Forest Hill Extension, San Francisco, CA",50827
36059519704,"Plainview, NY",50812
27053023903,"Edina, MN",50768
51059470100,"McLean, VA",50764
36059518501,"Jericho, NY",50718
6037574602,"Bixby Hill, Long Beach, CA",50703
11001000901,"Northwest Washington, Washington, DC",50662
34035052204,"Warren, NJ",50598
34003035200,"Woodcliff Lake, NJ",50514
9001060500,"Southport, Fairfield, CT",50473
24031706007,"Potomac, MD",50472
36059412500,"Rockville Centre, NY",50442
48201411400,"River Oaks, Houston, TX",50411
25021404400,"Wellesley, MA",50369
36119010701,"Scarsdale, NY",50311
24031701205,"Rockville, MD",50294
34013021602,"North Caldwell, NJ",50217
6085509901,"Blossom Valley, Mountain View, CA",50204
34021004502,"Princeton, NJ",50200
25017338400,"Winchester, MA",50185
9003497200,"West Hartford, CT",50167
9003460203,"Farmington, CT",50165
34013020400,"Livingston, NJ",50160
34027044200,"Morristown, NJ",50151
24005408303,"Reisterstown, MD",50126
51107611010,"Leesburg, VA",50108
9001020200,"North Stamford, Stamford, CT",50026
6081611400,"West Atherton, Atherton, CA",49968
36059411500,"Hewlett, NY",49956
10003011800,"Wilmington, DE",49775
36119008500,"Rye, NY",49774
34013020000,"Essex County, NJ",49762
25021401200,"Chestnut Hill, Brookline, MA",49757
24031706013,"Bethesda, MD",49743
34003047300,"Ridgewood, NJ",49731
6013352101,"Rheem Valley Manor, Moraga, CA",49693
25017373600,"Chestnut Hill, Newton, MA",49689
24031706008,"Potomac, MD",49685
36059415102,"Merrick, NY",49623
36059415500,"North Wantagh, Seaford, NY",49610
44007003602,"College Hill, Providence, RI",49600
36059415201,"Merrick, NY",49575
25017357100,"Belmont, MA",49534
17031070200,"Lincoln Park, Chicago, IL",49530
37119002701,"Myers Park, Charlotte, NC",49509
24005403803,"Pikesville, MD",49500
34003015100,"Englewood, NJ",49500
36059301500,"Plandome, NY",49443
9003497400,"West Hartford, CT",49439
34013020100,"Essex County, NJ",49439
9001045101,"Wilton, CT",49432
17097864601,"Lake Forest, IL",49416
36059300500,"Great Neck, NY",49411
36119013103,"Millwood, NY",49397
36059300600,"Great Neck Plaza, NY",49388
9001020400,"North Stamford, Stamford, CT",49328
34003055100,"Tenafly, NJ",49316
6001443200,"Vineyards - Avalon, Fremont, CA",49301
34003048200,"River Edge, NJ",49295
42091201408,"Dresher, PA",49276
36059517801,"Locust Valley, NY",49259
